Disciplina;titulo;taxonomia;tema;descricao;keywords
Ciências;O pensamento evolucionista;ARcie7_un02an_evolucionista.mp4;Evolução biológica;Animação que narra a origem das ideias evolucionistas de Alfred Wallace e Charles Darwin, contando sobre suas viagens e mostrando alguns dos argumentos que ambos utilizaram para defender a teoria da evolução por meio da seleção natural.;diversidade, biodiversidade, Darwin, Wallace, fósseis, evolução, Galápagos, seleção natural
Ciências;Revisão da unidade 2;/cie_revisao7_un2;Evolução biológica;Atividades interativas de revisão.;questão, atividade, exercício, revisão, Darwin, Lamarck, evolução, Wallace, adaptação, seleção natural
Ciências;Características dos fungos;ARcie7_un03an_fungos.mp4;Fungos;Animação sobre os fungos, apresentando a diversidade, as principais características, o ciclo de vida e a importância ecológica desse grupo de seres vivos.;levedura, cogumelo, parede celular, hifa, micélio, corpo de frutificação, esporo, heterótrofo, decomposição, safrófago, fungo
Ciências;Revisão da unidade 3;/cie_revisao7_un3;Classificação dos seres vivos;Atividades interativas de revisão.;questão, atividade, exercício, revisão, parentesco, vírus, monera, protoctista, fungo
Ciências;Dengue;ARcie7_un03vr_dengue.mp4;Vírus;Reportagem sobre a dengue feita a partir de entrevistas com especialistas. São abordados diversos aspectos da doença: sintomas, transmissão, origem, distribuição de casos no Brasil, variantes, formas de prevenção e de erradicação do mosquito transmissor, incluindo uma nova técnica que se baseia na criação de mosquitos transgênicos.;vírus, mosquito, transmissão, sintomas, profilaxia, dengue, campanha de prevenção, criadouro, virose, doença, pesquisa, tecnologia
Ciências;Nutrição das plantas;ARcie7_un04an_nutricao_plantas.mp4;Plantas;Animação que explica a nutrição das plantas. Esse processo é abordado em quatro etapas: absorção, condução, fotossíntese e respiração.;nutrição, sais minerais, absorção, condução, fotossíntese, respiração, seiva mineral, capilaridade, transpiração, xilema, sacarose, glicose, seiva orgânica, floema
Ciências;Revisão da unidade 4;/cie_revisao7_un4;Plantas;Atividades interativas de revisão.;questão, atividade, exercício, revisão, fotossíntese, tecido vegetal, célula vegetal, xilema, floema, briófita, pteridófita, angiosperma, gimnosperma
Ciências;Fotossíntese e produção de amido;ARcie7_un04vde_fotossintese.mp4;Plantas;Vídeo que demonstra um experimento simples para verificar a produção de amido pelas folhas de uma planta na presença e na ausência de luz.;fotossíntese, glicose, gás oxigênio, amido, experimento, folha, luz, método científico, teste, hipótese
Ciências;Das flores aos frutos;ARcie7_un05an_flores_frutos.mp4;Plantas;Animação que apresenta o desenvolvimento do fruto a partir de uma flor. São abordadas também a morfologia e a anatomia desses órgãos, assim como o processo de polinização e de dispersão das sementes.;flor, fruto, angiosperma, androceu, estame, antera, filete, gineceu, carpelo, estigma, estilete, ovário, grão de pólen, semente, receptáculo floral, pericarpo, hipanto
Ciências;Revisão da unidade 5;/cie_revisao7_un5;Plantas;Atividades interativas de revisão.;questão, atividade, exercício, revisão, raiz, caule, folha, flor, fruto
Ciências;Jogo da memória;/jogo-memoria;Plantas;Jogo da memória no qual o objetivo é associar os vegetais dos quais nos alimentamos à estrutura correspondente na planta. O jogo possui seis níveis de dificuldade, e a pontuação depende da velocidade de resolução: quanto mais rápida, mais pontos.;jogo, caule, raiz, flor, fruto, folha, semente
Ciências;Revisão da unidade 6;/cie_revisao7_un6;Invertebrados;Atividades interativas de revisão.;questão, atividade, exercício, revisão, porífero, hirudíneo, platelminto, nematelminto, molusco, poliqueto, equinodermo, artrópode
Ciências;Verminoses;/verminoses;Invertebrados;Infográfico interativo que apresenta diversas informações sobre ascaridíase, teníase, cisticercose, esquistossomose, filariose e ancilostomose.;verminose, ancilostomose, ciclo de vida, ascaridíase, teníase, cisticercose, esquistossomose, filariose, lombriga, tênia,  esquistossomo
Ciências;Revisão da unidade 7;/cie_revisao7_un7;Vertebrados;Atividades interativas de revisão.;questão, atividade, exercício, revisão, peixe, anfíbio, réptil, ave, mamífero
Ciências;Evolução dos vertebrados;/vertebrados;Vertebrados;Jogo de tabuleiro no qual o objetivo é responder corretamente às questões sobre o grupo dos vertebrados e, assim, levar o personagem até o final do percurso. Pode ser jogado por uma ou duas pessoas.;jogo, evolução, vertebrado, aves, répteis, peixes, mamíferos
Ciências;Revisão da unidade 8;/cie_revisao7_un8;Ecologia;Atividades interativas de revisão.;questão, atividade, exercício, revisão, relações ecológicas, interferência humana, comensalismo, inquilinismo, protocooperação, mutualismo
Ciências;Por dentro de um formigueiro;/formigueiro;Ecologia;Infográfico interativo que apresenta o interior de um formigueiro de saúvas. Conta com animações, fotos e vídeos sobre o desenvolvimento da colônia e as diferentes castas de formigas.;sociedade, insetos sociais, relação ecológica, formigueiro, formiga
Ciências;A evolução da linguagem falada;ARcie8_un01an_linguagem.mp4;Ser humano;Animação que narra a origem da linguagem humana e comenta as principais teorias sobre seu funcionamento.;linguagem, língua, epiglote, laringe, brônquios, pulmões, faringe, pregas vocais, cavidade nasal, fala, teoria
Ciências;Desenvolvimento e envelhecimento humano;ARcie8_un01an_envelhecimento.mp4;Ser humano;Sequência de imagens com locução explicando as principais mudanças que ocorrem no corpo humano durante o crescimento, a puberdade e o envelhecimento.;desenvolvimento, envelhecimento, ossificação, gênero, audição, puberdade, caracteres secundários, visão, equilíbrio, memória
Ciências;Revisão da unidade 1;/cie_revisao8_un1;ser humano;Atividades interativas de revisão.;questão, atividade, exercício, revisão, ser humano, ser vivo, organização do corpo, órgão, tecido
Ciências;Enzimas da digestão;ARcie8_un02an_enzimas_digestao.mp4;Nutrientes e sistema digestório;Animação que mostra as principais etapas envolvidas na digestão de uma refeição simples, dando ênfase à atuação das enzimas.;digestão, carboidrato, proteína, fibra, gordura, vitamina, amilase, maltose, maltase, glicose, suco intestinal, lactase, sacarase, pepsina, renina, protease, intestino, lipase, suco pancreático
Ciências;Corpo e saúde;ARcie8_un02vr_corpo.mp4;Nutrientes e sistema digestório;Reportagem sobre nutrição e saúde feita com base em entrevistas a especialistas. São abordados diversos temas, como índice de massa corpórea, alimentação saudável, prática de exercícios, obesidade, transtornos alimentares e padrões de beleza.;índice de massa corporal, IMC, nutrição peso, obesidade, alimentação, sedentarismo, transtorno alimentar, anorexia, bulimia, saudável, qualidade de vida, dieta
Ciências;Revisão da unidade 2;/cie_revisao8_un2;Nutrientes e sistema digestório;Atividades interativas de revisão.;questão, atividade, exercício, revisão, nutrição, vitaminas, lipídios, carboidratos, proteínas
Ciências;Fabricação da vacina contra a febre amarela;ARcie8_un03an_febre_amarela.mp4;Sistema imunitário;Sequência de imagens com locução narrando os procedimentos envolvidos na produção da vacina para a febre amarela no Instituto Bio-Manguinhos, no Rio de Janeiro.;vacina, produção de vacina, fabricação, vírus, febre amarela, incubação
Ciências;Bebidas energéticas e o coração;ARcie8_un03vt_bebidas_energeticas.mp4;Sistema cardiovascular;Reportagem sobre a influência das bebidas energéticas sobre o sistema cardiovascular.;energético, efeito colateral, ritmo cardíaco, cafeína, coração
Ciências;Revisão da unidade 3;/cie_revisao8_un3;Sistemas cardiovascular, linfático e imunitário;Atividades interativas de revisão.;questão, atividade, exercício, revisão, sangue, artéria, soro, vacina, drenagem, linfático
Ciências;Os rins;ARcie8_un04an_rins.mp4;Sistema urinário;Animação explicando a anatomia e o funcionamento dos rins.;urina, sangue, filtrado, artéria renal, veia renal, córtex renal, néfron, medula renal, tubo coletor, pelve renal, ureter, bexiga urinária, uretra
Ciências;Cigarro e doença pulmonar obstrusiva crônica;ARcie8_un04vt_cigarro.mp4;Sistema respiratório;Animação mostrando os efeitos do tabagismo sobre os pulmões, com ênfase na doença pulmonar obstrutiva crônica.;traqueia, pulmão, alvéolo, troca gasosa, doença
Ciências;Revisão da unidade 4;/cie_revisao8_un4;Sistemas respiratório e urinário;Atividades interativas de revisão.;questão, atividade, exercício, revisão, respiração, pulmão, faringe, laringe, alveolos, urina, ureia
Ciências;Sistema nervoso;ARcie8_un05an_nervoso.mp4;Sistema endócrino;Animação sobre a anatomia e a morfologia do sistema endócrino humano.;hipófise, glândula tireóidea, suprarrenais, testículos, ovários, pâncreas, coordenação, hipotálamo, prolactina, tiroxina, adrenalina, testosterona, estrógeno, progesterona, insulina, glucagon
Ciências;Sistema endócrino;ARcie8_un05an_endocrino.mp4;Sistema nervoso;Animação sobre a anatomia e a morfologia do sistema nervoso humano.;estímulos, neurônio, impulso nervoso, sistema nervoso central, sistema nervoso periférico, medula espinal, nervos, gânglios nervosos, órgão efetor, medula oblonga
Ciências;Revisão da unidade 5;/cie_revisao8_un5;Sistemas nervoso e endócrino;Atividades interativas de revisão.;questão, atividade, exercício, revisão, neurônio, cérebro, medula, memória, hormônio
Ciências;Os ossos por dentro;ARcie8_un06an_ossos.mp4;Sistema esquelético;Sequência de imagens com locução que explica a anatomia dos ossos e a produção de células sanguíneas.;fêmur, tecido ósseo, compacto, esponjoso, periósteo, nervos, medula
Ciências;Audição;ARcie8_un06an_audicao.mp4;Sentidos;Animação sobre o funcionamento da audição humana, mostrando a captação de estímulos e a transmissão de sinais nervosos para o cérebro.;orelha, audição, membrana timpânica, martelo, bigorna, estribo, cóclea, célula sensorial, órgão
Ciências;Paladar e olfato;ARcie8_un06an_paladar_olfato.mp4;Sentidos;Sequência de imagens com locução que explica a captação e a interpretação de estímulos olfativos e gustativos.;sabor, paladar, olfato, fossas nasais, célula olfatória, nervo, gustativo, papila, botão gustatório
Ciências;Revisão da unidade 6;/cie_revisao8_un6;Os sentidos e os movimentos;Atividades interativas de revisão.;questão, atividade, exercício, revisão, estímulo, ambiente, sentido, ossos, músculo
Ciências;Reprodução humana;ARcie8_un07an_reproducao.mp4;Adolescência e reprodução humana;Animação sobre a reprodução humana, demonstrando a fecundação e o desenvolvimento embrionário.;espermatozoide, ovócito, zigoto, fecundação, embrião, gestação, feto, desenvolvimento
Ciências;Revisão da unidade 7;/cie_revisao8_un7;Adolescência e reprodução humana;Atividades interativas de revisão.;questão, atividade, exercício, revisão, puberdade, gestação, gravidez, sistema genital, ovócito, espermatozoide
Ciências;Genética e agressividade;ARcie8_un08vt_genetica.mp4;Genética;Reportagem sobre um estudo com moscas que identificou um gene que influencia o comportamento agressivo. Esse mesmo gene está presente em mamíferos, como os humanos.;cérebro, genética, gene, mutação, neurônio, evolução, comportamento
Ciências;Células-tronco;ARcie8_un08vr_celulas_tronco.mp4;Genética;Reportagem sobre células-tronco feita a partir de entrevistas com especialistas. São abordados diversos temas, como definição, tipos de célula tronco, pesquisas atuais para aplicação de células-tronco em tratamentos etc.;célula,tronco, pesquisa, embrionária, célula,tronco adulta, doença, tecnologia, terapia, célula, vacina
Ciências;Revisão da unidade 8;/cie_revisao8_un8;Genética;Atividades interativas de revisão.;questão, atividade, exercício, revisão, DNA, mitose, meiose, núcleo, fenótipo, genótipo
Ciências;Revisão da unidade 1;/cie_revisao9_un1;Propriedades da matéria;Atividades interativas de revisão.;questão, atividade, exercício, revisão, estados físicos, propriedades, sólido, líquido, gás
Ciências;Experimento da gota de piche;ARcie9_un01av_gota_piche.mp4;Propriedades da matéria;"Iniciado em 1927, o experimento da gota de piche, em andamento na Universidade de Queensland, Austrália, é o experimento científico mais duradouro já feito. O aparato foi projetado para demonstrar que o piche possui fluidez, apesar de sua altíssima viscosidade; uma gota é formada a aproximadamente cada dez anos!";sólido, estado físico, viscosidade, prorpiedade, experimento, hipótese, ciência, propriedade
Ciências;Balões;ARcie9_un01av_baloes.mp4;Propriedades da matéria;Vídeo que explica o funcionamento dos balões de ar quente.;combustão, propano, ar, densidade, bação, gás, estado físico
Ciências;Revisão da unidade 2;/cie_revisao9_un2;Matéria;Atividades interativas de revisão.;questão, atividade, exercício, revisão, átomo, eletrosfera, tabela periódica, ligação química
Ciências;Constituição da matéria;ARcie9_un02an_materia.mp4;Matéria;Animação que apresenta as principais características dos átomos e explica a organização da tabela periódica.;ma´teria, átomos, próton, nêutron, elétron, núcleo, eletrosfera, carga elétrica, íon, cátion, estrutura atômica, substância, reação, número de massa, tabela periódica
Ciências;Polímeros;ARcie9_un02vde_polimeros.mp4;Matéria;Vídeo que apresenta informações básicas sobre polímeros, assim como exemplos. São apresentados também métodos para a produção, em laboratório, de dois polímeros: a galatite e o poliuretano.;molécula, polímero, monômero, caseína, plástico, espuma, experimento, método científico
Ciências;Revisão da unidade 3;/cie_revisao9_un3;Substâncias puras e misturas;Atividades interativas de revisão.;questão, atividade, exercício, revisão, substância pura, mistura, separação de misturas
Ciências;Substâncias puras e misturas;ARcie9_un03an_substancias.mp4;Substâncias puras e misturas;Animação que explica o que são substâncias puras e misturas, dando exemplos.;respiração, substâncai, mistura, ar, oxigênio, pura, homogênea, solução, heterogênea, densidade
Ciências;Separação de misturas;ARcie9_un03vde_separacao.mp4;Substâncias puras e misturas;Vídeo que apresenta a importância do desenvolvimento de métodos de separação de misturas e exemplifica três deles: flotação, filtração e evaporação.;substância, pura, mistura, separação, experimento, teste, hipótese, método de separação, flotação, filtração, magnetismo, evaporação
Ciências;Revisão da unidade 4;/cie_revisao9_un4;Grupos de substâncias e reações químicas;Atividades interativas de revisão.;questão, atividade, exercício, revisão, óxido, sal, ácido, base, reação química
Ciências;O vidro;ARcie9_un04an_vidro.mp4;Sais e óxidos;Sequência de imagens com locução apresentando diversas informações sobre o vidro, como a história, a composição, as técnicas de produção, as propriedades e os usos desse material.;vidro, óxido, fundição, sílica, líquido, viscosidade, transparência, fibra óptica, reciclagem
Ciências;Equações;/equacoes;Equações químicas;Atividade interativa na qual o objetivo é alterar os coeficientes das equações químicas para balanceá-las corretamente. Conta com três níveis de dificuldade.;balanceamento, coeficiente, reação, reagente, produto
Ciências;Revisão da unidade 5;/cie_revisao9_un5;Força e movimento;Atividades interativas de revisão.;questão, atividade, exercício, revisão, massa, peso, movimento, velocidade, aceleração, força
Ciências;Movimento e trajetória;ARcie9_un05an_movimento.mp4;Força e movimento;Animação que explica os conceitos de movimento e trajetória, que são determinados sempre a partir de um referencial.;movimento, repouso, referencial, posição, trajetória, retilíneo, curvilíneo
Ciências;Calculando a janela de lançamento;ARcie9_un05vt_janela_lancamento.mp4;Força e movimento;Vídeo que apresenta os desafios envolvidos no cálculo do momento certo para o lançamento de um foguete que carrega suprimentos para a Estação Espacial Internacional.;gravidade, atmosfera, órbita, trajetória, velocidade, estação espacial, lançamento
Ciências;Revisão da unidade 6;/cie_revisao9_un6;Energia;Atividades interativas de revisão.;questão, atividade, exercício, revisão, energia potencial, energia cinética, trabalho, potência
Ciências;Sistema de calefação;ARcie9_un06an_calefacao.mp4;Calor e temperatura;Animação que explica os princípios envolvidos no funcionamento de um sistema de calefação central.;aquecimento, caldeira, calor, combustão, troca de calor
Ciências;A história da energia nuclear;/nuclear;Energia;Linha do tempo que apresenta os principais eventos relacionados ao descobrimento da radioatividade e ao desenvolvimento de tecnologias que permitiram explorá-la.;nuclear, história, Dalton, teoria atômica, urânio, Thomson, elétron, radioatividade, Marie Curie, Einstein, relatividade, Rutherford, Bohr, fissão nuclear, reator
Ciências;Radioatividade: aplicações e riscos;/radioatividade;Energia;Multimídia interativa que mostra como a radioatividade pode ser utilizada de diversas formas.;radioatividade, datação de fósseis, energia nuclear, medicina nuclear, radiação, átomo
Ciências;Revisão da unidade 7;/cie_revisao9_un7;Calor e temperatura;Atividades interativas de revisão.;calor, temperatura, agitação, moléculas,, irradiação
Ciências;Energia;ARcie9_un07an_energia.mp4;Energia;Animação que explica os conceitos de conservação e de transformação energia a partir de três exemplos: uma montanha russa, um pêndulo e uma mola.;cinética, potencial, conservação de energia, transformação de energia
Ciências;Os animais de Chernobyl;ARcie9_un07vt_chernobyl.mp4;Energia;Reportagem que apresenta o trabalho de um biólogo que investiga os efeitos da radioatividade nos animais que vivem próximos ao local onde se encontrava a usina de Chernobyl.;radiação, energia nuclear, reator, radioatividade, efeitos biológicos, inseto, aranha, ave
Ciências;Revisão da unidade 8;/cie_revisao9_un8;Ondas;Atividades interativas de revisão.;questão, atividade, exercício, revisão, onda, frequência, amplitude, espelho, côncavo, convexo, convergente, divergente
Ciências;Poluição eletromagnética;/eletromagnetica;Ondas;Multimídia interativa que trata da presença da radiação eletromagnética no nosso cotidiano e apresenta as características e utilidades das principais faixas do espectro eletromagnético.;ultravioleta, raio X, raio gama, luz visível, infravermelho, micro,ondas, radiofrequência, frequência
Ciências;Música para a vida;ARcie9_un08vr_musica.mp4;Ondas;Reportagem sobre a música feita a partir do depoimento de especialistas e estudantes de música. São tratados diversos temas, como a fabricação e o funcionamento dos instrumentos, a percussão corporal e o poder transformador que a música exerce na vida das pessoas.;instrumento, música, vibração, comprimento de onda, frequência, grave, agudo, intensidade
Ciências;Indução eletromagnética;ARcie9_un09an_inducao.mp4;Eletricidade e eletromagnetismo;Animação que explica conceitos básicos do eletromagnetismo, com exemplos e aplicações.;imã, campo magnético, pólo, atração, repulsão, bússola, circuito elétrico, aberto, fechado, corrente elétrica, alternador, energia elétrica
Geografia;Unidades de conservação;/unidade_conservacao;Paisagem e espaço geográfico;Preservar as paisagens naturais é muito importante. O Brasil possui muitas unidades de conservação, classificadas em cinco categorias, de acordo com suas características. Este objeto interativo exibe o mapa do território brasileiro com a localização e a classificação dessas unidades, além de uma galeria de imagens com alguns exemplos de áreas de preservação.;paisagem, preservação, uso sustentável, proteção integral, elemento natural, elemento cultural, meio ambiente
Geografia;Home -nosso planeta, nossa casa;ARgeo6_un01vt_home.mp4;A transformação do espaço geográfico;Entenda um pouco mais sobre a transformação do espaço pela sociedade, visando atender as demandas atuais da agricultura. Este trecho do documentário busca  reforçar a importância em manter o equilíbrio climático necessário para a vida na Terra.;meio ambiente,  água, poluição, exploração, impacto ambiental, paisagem, economia, espaço
Geografia;Unidade 1 - Atividades interativas;/geo-atividade6-un1;A Geografia e a compreensão do mundo;Atividades interativas de fixação de conteúdos;paisagem, espaço, local, identidade, transformação, trabalho, elemento natural, elemento cultural,ação humana
Geografia;Elementos do mapa;ARgeo6_un02an_mapa.mp4;Elementos e tipos de mapas;Assista a uma apresentação sobre os elementos que compõem os mapas: título, legenda, fonte, orientação, escala numérica ou gráfica e as coordenadas geográficas. Há, também, uma análise dos diferentes tipos de mapas: político, físico e temático e o que colabora na compreensão dessas representações.;mapa, cartografia, escala, orientação, coordenadas geográficas, fonte, título, legenda
